@relation iris_clustered

@attribute Instance_number numeric
@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,5.1,3.5,1.4,0.2,Iris-setosa,cluster3
1,4.9,3,1.4,0.2,Iris-setosa,cluster3
2,4.7,3.2,1.3,0.2,Iris-setosa,cluster3
3,4.6,3.1,1.5,0.2,Iris-setosa,cluster3
4,5,3.6,1.4,0.2,Iris-setosa,cluster3
5,5.4,3.9,1.7,0.4,Iris-setosa,cluster3
6,4.6,3.4,1.4,0.3,Iris-setosa,cluster3
7,5,3.4,1.5,0.2,Iris-setosa,cluster3
8,4.4,2.9,1.4,0.2,Iris-setosa,cluster3
9,4.9,3.1,1.5,0.1,Iris-setosa,cluster3
10,5.4,3.7,1.5,0.2,Iris-setosa,cluster3
11,4.8,3.4,1.6,0.2,Iris-setosa,cluster3
12,4.8,3,1.4,0.1,Iris-setosa,cluster3
13,4.3,3,1.1,0.1,Iris-setosa,cluster3
14,5.8,4,1.2,0.2,Iris-setosa,cluster3
15,5.7,4.4,1.5,0.4,Iris-setosa,cluster3
16,5.4,3.9,1.3,0.4,Iris-setosa,cluster3
17,5.1,3.5,1.4,0.3,Iris-setosa,cluster3
18,5.7,3.8,1.7,0.3,Iris-setosa,cluster3
19,5.1,3.8,1.5,0.3,Iris-setosa,cluster3
20,5.4,3.4,1.7,0.2,Iris-setosa,cluster3
21,5.1,3.7,1.5,0.4,Iris-setosa,cluster3
22,4.6,3.6,1,0.2,Iris-setosa,cluster3
23,5.1,3.3,1.7,0.5,Iris-setosa,cluster3
24,4.8,3.4,1.9,0.2,Iris-setosa,cluster3
25,5,3,1.6,0.2,Iris-setosa,cluster3
26,5,3.4,1.6,0.4,Iris-setosa,cluster3
27,5.2,3.5,1.5,0.2,Iris-setosa,cluster3
28,5.2,3.4,1.4,0.2,Iris-setosa,cluster3
29,4.7,3.2,1.6,0.2,Iris-setosa,cluster3
30,4.8,3.1,1.6,0.2,Iris-setosa,cluster3
31,5.4,3.4,1.5,0.4,Iris-setosa,cluster3
32,5.2,4.1,1.5,0.1,Iris-setosa,cluster3
33,5.5,4.2,1.4,0.2,Iris-setosa,cluster3
34,4.9,3.1,1.5,0.1,Iris-setosa,cluster3
35,5,3.2,1.2,0.2,Iris-setosa,cluster3
36,5.5,3.5,1.3,0.2,Iris-setosa,cluster3
37,4.9,3.1,1.5,0.1,Iris-setosa,cluster3
38,4.4,3,1.3,0.2,Iris-setosa,cluster3
39,5.1,3.4,1.5,0.2,Iris-setosa,cluster3
40,5,3.5,1.3,0.3,Iris-setosa,cluster3
41,4.5,2.3,1.3,0.3,Iris-setosa,cluster3
42,4.4,3.2,1.3,0.2,Iris-setosa,cluster3
43,5,3.5,1.6,0.6,Iris-setosa,cluster3
44,5.1,3.8,1.9,0.4,Iris-setosa,cluster3
45,4.8,3,1.4,0.3,Iris-setosa,cluster3
46,5.1,3.8,1.6,0.2,Iris-setosa,cluster3
47,4.6,3.2,1.4,0.2,Iris-setosa,cluster3
48,5.3,3.7,1.5,0.2,Iris-setosa,cluster3
49,5,3.3,1.4,0.2,Iris-setosa,cluster3
50,7,3.2,4.7,1.4,Iris-versicolor,cluster4
51,6.4,3.2,4.5,1.5,Iris-versicolor,cluster4
52,6.9,3.1,4.9,1.5,Iris-versicolor,cluster4
53,5.5,2.3,4,1.3,Iris-versicolor,cluster1
54,6.5,2.8,4.6,1.5,Iris-versicolor,cluster4
